name	url	region	city	address
Hub City MMA & BJJ	https://hubcitymma.gymdesk.com	SD	Aberdeen	206 S Dakota St, Aberdeen, SD 57401
Humboldt Jiu Jitsu	https://humboldtjiujitsu.com/	CA	Arcata	
Hybrid Jiujitsu	https://hybridjiujitsulv.com	NV	Las Vegas	7925 W Sahara Ave
IJC Martial Arts	https://ijcnyc.com	NY	Queens	28-20 120th St 2nd Floor
IMB Academy CT	https://jessymiele.wixsite.com/imbct/	CT	Waterbury	1669 Thomaston Ave # 4
Ice Dragon Academy	https://icedragonacademy.com	ND	Bismarck	3007 Morrison Ave, Bismarck ND 58504
Icon Combat	https://iconcombat.com	NB	Moncton	
Idahome Jiu-Jitsu	https://idahomejiujitsu.com	ID	Caldwell	2922 Cleveland Blvd Ste 600, Caldwell, ID 83605
Igor Gracie Jiu Jitsu Academy	https://igorgraciejiujitsu.com	NY	New Rochelle	
Ilimitadas Brazilian Jiu-Jitsu	https://www.facebook.com/limitlessbjjmma/	OH	Dayton	500 E Main St
Immortal MMA	https://www.immortalmmawichita.com	KS	Wichita	1050 S Oliver Ave, Wichita, KS 67218
Impact Jiu Jitsu Albuquerque	https://impactjjabq.com	NM	Albuquerque	6509 Lomas Blvd NE, Albuquerque, NM 87110
Impact Jiu Jitsu Clackamas	https://www.impactjj.com/	OR	Clackamas	16116 SE 82nd Dr
Impact Jiu Jitsu HQ Beaverton	https://www.impactjj.com/	OR	Beaverton	10720 SW Beaverton Hillsdale Highway
Impact Jiu Jitsu Hillsboro	https://impacthillsboro.com/	OR	Hillsboro	1001 SE Tualatin Valley Highway Suite A-29
Impact Jiu Jitsu Hood River	https://www.impacthoodriver.com/	OR	Hood River	1531 Osprey Drive
Impact Jiu Jitsu Keizer	https://salemimpactjj.com/	OR	Keizer	117 McNary Estates Dr N
Impact Jiu Jitsu Newberg	https://www.impactnewberg.com/	OR	Newberg	2751 E 9th St, Suite B
